Operon_no.	left_cordinate	right_cordinate	strand
1	202	3903	+
2	4022	4810	+
3	4960	5235	+
4	5636	7108	+
5	7170	7790	-
6	8165	11380	+
7	11467	17021	+
8	17018	19784	-
9	19815	20447	+
10	20444	20778	-
11	20840	23559	-
12	23742	24981	+
13	24991	29403	-
14	29502	32658	-
15	32914	34329	+
16	34312	34941	-
17	35775	39879	-
18	39980	45614	-
19	45805	48846	-
20	49105	49638	+
21	49645	50031	-
22	52245	58011	-
22.1	50132	52125	-
23	58654	60386	-
23.1	58201	58608	-
24	60534	61121	-
25	61191	61763	-
26	61885	63153	+
27	63327	64487	-
28	64529	66091	-
29	66331	68127	-
30	68289	71904	-
31	71977	76108	+
32	76477	79908	-
33	79975	83893	-
34	84087	84728	+
35	84763	84972	-
36	85222	86880	-
37	87043	88683	-
38	89053	91413	+
39	91467	96290	-
40	96628	97737	-
41	97841	99385	+
42	99466	101895	-
43	101960	102943	-
44	103149	104929	-
45	105028	105237	-
47	105310	107332	-
48	107402	108792	+
49	111745	113034	-
49.1	108943	111638	-
50	113151	113375	+
51	113463	115160	+
52	115289	115990	-
53	116088	118099	+
54	118260	120675	-
56	120752	121892	+
58	121972	122852	+
59	122939	126268	+
60	126407	127753	-
61	127915	132953	+
63	132950	133827	-
64	133900	134682	+
65	136184	136591	-
65.1	134826	136177	-
66	136811	137011	+
67	137246	138472	-
68	138555	140918	-
72	141119	145276	+
74	145273	148530	-
75	148752	150944	+
76	150993	152600	-
77	152709	157568	-
78	157593	158186	+
79	158354	158470	+
80	158546	159323	+
81	159320	160297	-
82	160464	161180	-
83	161320	163035	+
84	162975	163235	-
85	163413	164951	+
85.1	165022	165393	+
86	165621	169246	+
87	169387	170526	+
88	170951	171577	+
89	171649	177098	+
90	177092	177745	-
91	178252	179070	-
92	179311	180120	+
92.1	180205	180801	+
93	181379	182917	+
94	182997	185663	+
95	185853	196140	+
97	196250	199810	-
98	200286	203725	-
99	203869	205173	+
100	205174	206793	-
101	206989	208345	-
102	208487	210531	-
103	211121	212256	-
104	212387	214267	+
105	214320	215255	-
106	215418	216098	+
107	216215	218332	+
108	218336	221085	-
109	220931	222282	+
110	222283	223272	-
111	223353	224927	-
112	225115	230116	+
113	230262	232307	+
114	232614	233402	+
115	233470	233862	-
116	233977	236127	+
117	236131	236877	-
118	237030	237635	+
119	237642	238136	-
120	238241	240651	+
121	240648	242693	-
122	243024	243056	+
123	243157	243432	+
124	243490	244670	-
125	244790	245764	+
126	245765	247003	-
127	247055	247540	+
128	247537	247953	-
129	248082	250276	+
130	250273	252308	-
131	252525	255242	+
131.1	255318	256000	+
132	256412	256810	-
133	256953	258737	+
134	258879	259436	-
135	259514	260914	-
136	260971	263672	+
137	263784	265745	-
138	265999	267027	+
139	267164	268066	+
140	268063	270057	-
141	270176	271567	-
143	271910	272620	-
144	272872	273558	-
145	273695	274738	+
146	274921	275793	+
147	275815	276237	-
148	276384	277637	-
149	278017	279471	+
150	279599	280837	-
151	280931	281872	-
152	285270	287295	+
153	287636	287998	+
154	288082	289527	-
155	289617	290096	-
156	290161	292901	+
157	292898	294567	-
158	294659	294991	+
159	295109	297542	-
160	297735	299318	-
161	299485	300797	-
162	301048	304305	-
163	304469	305884	+
163.1	306029	311066	+
164	311039	312666	-
165	312678	313961	+
166	313978	314385	-
167	314615	316991	+
168	317027	322868	-
169	323024	323689	+
170	323812	326630	-
171	326715	332971	-
172	333179	334138	+
173	334224	334757	-
174	334940	335755	-
175	335959	337728	+
176	337932	338390	-
177	338634	339665	+
178	339828	340490	-
179	340575	341825	+
180	341832	342602	-
181	342674	344109	+
182	344130	344957	-
183	345020	350719	+
183.1	350788	352104	+
184	352434	358928	+
185	358988	359335	+
186	359343	360176	-
187	360419	361819	+
188	361909	362088	+
189	362218	364221	-
190	364395	365986	-
191	366112	368271	+
192	368358	369155	-
193	369280	370374	+
194	370445	371152	+
195	371323	372567	+
196	372638	373402	+
197	373511	374938	+
198	374976	375836	-
200	375919	377806	+
201	377803	382655	-
204	383009	385667	+
205	385817	387130	+
206	387576	390177	-
207	390599	391838	+
208	391953	396640	-
209	396879	397418	-
210	397466	398515	+
211	398637	399713	-
212	399852	400487	-
213	400574	402861	+
214	402858	403445	-
215	403575	403997	+
216	404125	405006	-
217	405104	405895	-
218	405999	407767	+
219	407848	409182	+
220	409326	410899	-
221	411052	412842	+
222	412933	413610	-
223	413741	415279	+
224	415406	416764	-
225	416919	422068	+
226	422170	422538	-
227	422528	423007	+
228	423040	424308	-
229	424406	426286	+
229.1	426379	428354	+
230	428613	429584	-
231	429725	430498	-
232	430733	431269	+
233	431334	433170	-
234	433404	433874	+
235	434121	435560	+
236	435633	436094	-
237	436545	436889	+
238	436958	437550	+
239	437556	437741	-
240	437761	437883	+
241	438156	438650	-
242	438748	440003	+
243	440156	442865	+
244	443064	444677	+
245	444889	445200	-
246	445497	455328	+
249	455598	458639	+
250	458721	461868	-
251	461992	464661	+
252	471542	472783	+
253	473245	473400	+
254	477514	477678	+
255	477921	479033	+
256	479191	481710	+
257	481820	481933	-
258	482231	483454	-
259	484789	488169	-
261	488274	493709	-
262	494090	494284	-
263	494406	495143	-
264	495332	495655	+
265	495724	497022	-
266	497352	498855	+
267	499379	500224	-
268	500314	502142	-
269	502235	504724	+
270	504911	506605	+
271	506715	507747	-
272	507838	508722	+
273	508870	509508	-
274	509704	515224	+
275	515285	515404	-
276	515480	518417	-
277	518474	519211	+
278	519310	519732	+
279	519729	520193	-
280	520398	523086	+
281	523154	523927	-
282	523993	527045	-
284	528078	528908	+
285	529324	531657	+
286	531683	533733	-
287	533891	534967	-
288	535198	536136	-
289	536277	539654	-
290	539769	540026	+
290.1	540157	540663	+
291	540844	542231	+
292	542581	543528	+
293	543952	544842	+
294	544865	546187	-
295	546314	547537	+
296	547831	556205	+
297	556424	558220	+
298	558249	559709	-
299	559904	560776	-
300	561036	561344	+
301	561341	562363	-
302	562579	564547	+
303	564671	565453	+
304	565748	568052	+
306	568260	568700	-
307	568956	570172	-
308	570238	571044	+
309	571117	571461	+
310	571546	573063	+
311	573020	575737	-
312	575815	579972	+
313	580036	581778	-
314	582330	583541	-
315	583664	589130	-
316	589132	593513	+
317	593829	596600	+
318	596740	601420	+
320	601496	604033	+
321	611200	611757	+
322	611838	613205	-
324	613324	614379	+
325	614415	615746	-
326	615934	617430	+
327	617604	617843	+
329	622934	626342	-
329.1	617851	622871	-
330	626899	628364	-
331	628523	631663	+
332	631886	634816	-
333	635047	641012	+
334	641122	641910	-
336	642577	645570	+
337	645702	647285	+
338	647369	651031	+
339	651343	652815	+
341	653295	660031	-
342	660157	660612	-
343	660731	665644	+
344	666047	666601	-
345	666621	666806	+
346	666944	669151	+
347	669233	670396	-
348	670498	670875	+
349	670929	672842	-
350	672921	673771	-
351	674363	681294	+
352	682056	684388	+
353	684418	691751	-
354	691897	692172	-
355	692376	692899	-
356	693356	693502	+
357	694013	708039	+
359	708328	710310	-
360	710696	717825	+
361	717822	719943	-
362	720528	721781	+
363	721949	723444	+
364	723506	729756	-
365	729890	730693	-
366	730781	731788	+
367	731887	733734	-
368	733882	735007	-
369	736612	737981	-
370	738076	738534	+
371	738931	741725	-
372	741897	743330	+
373	743356	745096	-
374	745305	747635	+
375	747704	748207	-
376	748560	748901	-
377	749166	751250	+
378	751485	754342	-
379	754514	756148	-
380	756229	756804	+
381	757318	757815	-
382	758081	758380	+
383	759099	761024	-
384	761611	761820	+
386	762427	762873	+
387	763025	763315	-
388	763590	764003	-
389	764103	767110	-
390	767218	767400	+
391	767521	768690	-
392	768833	769933	+
393	769938	770252	-
395	770292	770709	-
397	771391	771567	-
399	771887	772894	-
400	773437	774278	-
401	774394	777776	+
402	777942	779933	-
403	780108	780749	+
404	780950	782970	-
405	783127	783723	+
406	783796	786358	+
407	786434	787201	+
408	787361	789274	-
409	789387	792399	+
410	792461	793030	-
411	793143	796828	-
412	797019	798110	-
414	798513	800797	-
415	800944	801510	+
416	801752	802036	+
417	802070	803496	-
417.5	802082	802519	+
418	803595	804953	-
419	805164	807384	+
420	807593	810233	-
421	810384	811262	-
422	811400	812437	-
423	812595	813296	-
424	813444	814185	-
425	814256	815314	-
426	815435	816001	+
427	816201	818675	-
428	818810	820510	-
429	820655	822897	-
430	823153	823443	+
431	823602	824421	-
432	824706	825644	+
433	825728	826336	+
434	827021	827239	-
435	827458	828936	+
436	829105	830426	+
437	830436	831593	-
438	831686	835249	-
439	835363	839778	-
440	840345	840746	+
441	840760	841686	-
442	841838	842194	+
443	842489	844108	-
444	844450	846426	-
445	846681	847904	+
446	848157	849932	-
447	850554	851420	-
448	851554	852870	+
449	852873	853523	-
450	853699	854076	+
451	855026	856210	-
452	856299	857666	+
453	857776	858969	+
454	858980	864705	-
454.5	861178	861285	+
455	864829	867695	+
456	867854	868309	+
457	868374	868859	-
458	869089	872310	-
459	872590	877531	-
460	877757	878080	-
461	878273	881284	-
462	881445	883889	-
463	883961	884305	-
464	884441	886054	-
465	886217	887742	-
466	888079	891006	+
467	891133	892647	+
469	892718	897455	+
470	897582	898481	-
471	898620	899219	+
472	899662	900483	+
473	901034	901855	+
474	902191	903012	+
475	903123	904739	-
476	904900	906873	-
477	906970	909575	+
478	909868	911793	+
479	911803	913419	-
480	913509	915233	-
481	915317	916645	-
482	916721	920390	-
483	920836	921303	+
484	921330	927470	-
485	927638	928252	+
486	928249	929016	-
487	929146	930738	+
488	930735	931592	-
489	931733	933355	-
490	933527	934963	-
491	935330	937543	+
492	937676	938855	-
493	938979	939557	-
494	942458	945817	-
494.5	939696	942333	-
495	946004	946492	+
496	947426	950383	-
497	952037	952834	-
497.1	950449	952008	-
498	952833	953744	+
499	953751	954947	-
500	955220	956650	+
501	956807	959071	+
503	959391	961699	-
504	961855	962853	-
505	963045	964730	-
506	964937	966184	+
507	966367	966831	+
508	966956	967309	+
509	967313	967756	-
510	967847	968767	-
511	968889	969827	+
512	970314	972578	+
513	972738	973802	+
514	973984	975541	+
515	975549	975920	-
516	976013	976177	+
517	976253	978094	-
518	978293	980500	+
519	980770	981606	-
520	981935	985480	+
521	985509	993209	-
522	993288	993815	-
523	993947	994708	+
524	994709	995262	-
525	995336	997576	+
526	997744	998499	+
527	998598	1001177	+
528	1001397	1001729	+
529	1001739	1002560	-
530	1002665	1003636	-
531	1003804	1005102	-
532	1005247	1008525	+
